id,sensor_id,start_time,end_time,in_count,out_count,sensor_type,ip_address,device_type,serial_number,sensor_group,tmestamp
211822,SE Entrance,7/24/2019 15:15,7/24/2019 15:30,14,31,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 15:30
211823,North Exit,7/24/2019 15:15,7/24/2019 15:30,0,4,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 15:30
211824,North Entrance,7/24/2019 15:15,7/24/2019 15:30,11,3,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 15:30
211825,SW Exit,7/24/2019 15:15,7/24/2019 15:30,1,2,SINGLE_SENSOR,10.18.155.111,PC2,D8:80:39:D3:B3:B9,SW Exit,7/24/2019 15:30
211818,SE Exit,7/24/2019 15:22,7/24/2019 15:23,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 15:23
211819,SE Exit,7/24/2019 15:24,7/24/2019 15:25,0,2,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 15:25
211821,SE Exit,7/24/2019 15:29,7/24/2019 15:30,0,3,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 15:30
211826,SE Exit,7/24/2019 15:30,7/24/2019 15:31,0,5,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 15:31
211827,North Entrance,7/24/2019 15:30,7/24/2019 15:45,11,3,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 15:45
211829,Coffee Shop,7/24/2019 15:30,7/24/2019 15:45,15,10,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 15:45
211830,North Exit,7/24/2019 15:30,7/24/2019 15:45,0,10,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 15:45
211831,SW Exit,7/24/2019 15:30,7/24/2019 15:45,0,2,SINGLE_SENSOR,10.18.155.111,PC2,D8:80:39:D3:B3:B9,SW Exit,7/24/2019 15:45
211832,SE Entrance,7/24/2019 15:30,7/24/2019 15:45,8,12,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 15:45
211828,SE Exit,7/24/2019 15:44,7/24/2019 15:45,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 15:45
211834,North Entrance,7/24/2019 15:45,7/24/2019 16:00,9,2,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 16:00
211835,North Exit,7/24/2019 15:45,7/24/2019 16:00,0,12,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 16:00
211836,SE Entrance,7/24/2019 15:45,7/24/2019 16:00,1,8,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 16:00
211837,Coffee Shop,7/24/2019 15:45,7/24/2019 16:00,6,4,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 16:00
211838,SW Exit,7/24/2019 15:45,7/24/2019 16:00,0,4,SINGLE_SENSOR,10.18.155.111,PC2,D8:80:39:D3:B3:B9,SW Exit,7/24/2019 16:00
211833,SE Exit,7/24/2019 15:54,7/24/2019 15:55,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 15:55
211842,North Exit,7/24/2019 16:00,7/24/2019 16:15,0,16,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 16:15
211843,Coffee Shop,7/24/2019 16:00,7/24/2019 16:15,9,9,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 16:15
211844,SW Exit,7/24/2019 16:00,7/24/2019 16:15,0,2,SINGLE_SENSOR,10.18.155.111,PC2,D8:80:39:D3:B3:B9,SW Exit,7/24/2019 16:15
211845,SE Entrance,7/24/2019 16:00,7/24/2019 16:15,9,5,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 16:15
211846,North Entrance,7/24/2019 16:00,7/24/2019 16:15,5,1,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 16:15
211839,SE Exit,7/24/2019 16:05,7/24/2019 16:06,0,3,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 16:06
211840,SE Exit,7/24/2019 16:06,7/24/2019 16:07,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 16:07
211841,SE Exit,7/24/2019 16:12,7/24/2019 16:13,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 16:13
211848,SE Entrance,7/24/2019 16:15,7/24/2019 16:30,8,4,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 16:30
211849,Coffee Shop,7/24/2019 16:15,7/24/2019 16:30,1,2,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 16:30
211850,North Exit,7/24/2019 16:15,7/24/2019 16:30,0,4,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 16:30
211851,North Entrance,7/24/2019 16:15,7/24/2019 16:30,6,2,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 16:30
211847,SE Exit,7/24/2019 16:26,7/24/2019 16:27,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 16:27
211854,Coffee Shop,7/24/2019 16:30,7/24/2019 16:45,5,4,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 16:45
211855,SE Entrance,7/24/2019 16:30,7/24/2019 16:45,2,11,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 16:45
211856,North Exit,7/24/2019 16:30,7/24/2019 16:45,0,10,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 16:45
211857,North Entrance,7/24/2019 16:30,7/24/2019 16:45,8,4,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 16:45
211852,SE Exit,7/24/2019 16:32,7/24/2019 16:33,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 16:33
211853,SE Exit,7/24/2019 16:42,7/24/2019 16:43,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 16:43
211861,Coffee Shop,7/24/2019 16:45,7/24/2019 17:00,9,6,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 17:00
211862,North Entrance,7/24/2019 16:45,7/24/2019 17:00,9,5,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 17:00
211863,North Exit,7/24/2019 16:45,7/24/2019 17:00,0,14,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 17:00
211865,SE Entrance,7/24/2019 16:45,7/24/2019 17:00,5,7,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 17:00
211858,SE Exit,7/24/2019 16:48,7/24/2019 16:49,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 16:49
211859,SE Exit,7/24/2019 16:52,7/24/2019 16:53,0,2,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 16:53
211860,SE Exit,7/24/2019 16:56,7/24/2019 16:57,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 16:57
211864,SE Exit,7/24/2019 16:59,7/24/2019 17:00,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 17:00
211868,SE Entrance,7/24/2019 17:00,7/24/2019 17:15,2,7,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 17:15
211870,North Exit,7/24/2019 17:00,7/24/2019 17:15,0,9,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 17:15
211871,North Entrance,7/24/2019 17:00,7/24/2019 17:15,5,3,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 17:15
211872,SW Exit,7/24/2019 17:00,7/24/2019 17:15,0,1,SINGLE_SENSOR,10.18.155.111,PC2,D8:80:39:D3:B3:B9,SW Exit,7/24/2019 17:15
211866,SE Exit,7/24/2019 17:06,7/24/2019 17:07,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 17:07
211867,SE Exit,7/24/2019 17:09,7/24/2019 17:10,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 17:10
211869,SE Exit,7/24/2019 17:14,7/24/2019 17:15,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 17:15
211875,North Exit,7/24/2019 17:15,7/24/2019 17:30,0,9,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 17:30
211876,SW Exit,7/24/2019 17:15,7/24/2019 17:30,0,3,SINGLE_SENSOR,10.18.155.111,PC2,D8:80:39:D3:B3:B9,SW Exit,7/24/2019 17:30
211877,SE Entrance,7/24/2019 17:15,7/24/2019 17:30,4,6,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 17:30
211878,North Entrance,7/24/2019 17:15,7/24/2019 17:30,4,3,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 17:30
211873,SE Exit,7/24/2019 17:26,7/24/2019 17:27,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 17:27
211874,SE Exit,7/24/2019 17:27,7/24/2019 17:28,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 17:28
211879,SE Exit,7/24/2019 17:30,7/24/2019 17:31,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 17:31
211882,SE Entrance,7/24/2019 17:30,7/24/2019 17:45,2,3,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 17:45
211883,North Exit,7/24/2019 17:30,7/24/2019 17:45,0,3,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 17:45
